PROPIETAT	/	/models	/models/nou	/fitxa-tecnica	/fittings	/task-types	/garment-types	/cataleg-peces	/suppliers	/recursos	/encarrecs	/clients	/comercial/productes	/comercial/ofertes	/comercial/condicions-pagament	/comercial/comandes	/comercial/encarrecs	/comercial/orfes	/comercial/albarans	/planificacio	/planificacio/calendari	/temps	/poms	/poms/grading	/size-library	/disseny/documents	/configuracio/general	/configuracio/usuaris	/configuracio/calendari	/perfil	/onboarding
targeta_capcalera_titol.textTransform	none	NO EXISTEIX	uppercase	none	NO EXISTEIX	uppercase	none	uppercase	uppercase	uppercase	none	uppercase	uppercase	uppercase	uppercase	uppercase	uppercase	uppercase	uppercase	NO EXISTEIX	uppercase	none	none	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	uppercase	uppercase	uppercase	none	NO EXISTEIX
targeta_capcalera_titol.letterSpacing	normal	NO EXISTEIX	0.48px	normal	NO EXISTEIX	1px	normal	0.72px	1px	1px	normal	1px	0.5px	1px	1px	1px	1px	1px	1px	NO EXISTEIX	0.4px	normal	normal	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	normal	0.4px	0.48px	normal	NO EXISTEIX
targeta_capcalera_titol.color	rgb(134, 134, 133)	NO EXISTEIX	rgb(134, 134, 133)	rgb(194, 122, 42)	NO EXISTEIX	rgb(134, 134, 133)	rgb(29, 29, 27)	rgb(134, 134, 133)	rgb(134, 134, 133)	rgb(134, 134, 133)	rgb(194, 122, 42)	rgb(134, 134, 133)	rgb(134, 134, 133)	rgb(134, 134, 133)	rgb(134, 134, 133)	rgb(134, 134, 133)	rgb(134, 134, 133)	rgb(134, 134, 133)	rgb(134, 134, 133)	NO EXISTEIX	rgb(134, 134, 133)	rgb(29, 29, 27)	rgb(134, 134, 133)	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	rgb(134, 134, 133)	rgb(29, 29, 27)	rgb(134, 134, 133)	rgb(29, 29, 27)	NO EXISTEIX
targeta_capcalera.padding	0px 0px 0px 0px	0px 4px 0px 14px	0px 0px 0px 0px	0px 0px 0px 0px	0px 0px 0px 0px	0px 0px 0px 0px	9px 12px 9px 12px	9px 13px 9px 13px	0px 0px 0px 0px	0px 0px 0px 0px	12px 16px 12px 16px	0px 0px 0px 0px	0px 0px 0px 0px	0px 0px 0px 0px	0px 0px 0px 0px	0px 0px 0px 0px	0px 0px 0px 0px	0px 0px 0px 0px	0px 0px 0px 0px	NO EXISTEIX	0px 0px 0px 0px	16px 22.4px 16px 22.4px	10px 14px 10px 14px	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	0px 0px 0px 0px	0px 0px 0px 0px	12px 16px 12px 16px	19.2px 22.4px 19.2px 22.4px	NO EXISTEIX
targeta_capcalera.backgroundColor	rgba(0, 0, 0, 0)	rgba(0, 0, 0, 0)	rgba(0, 0, 0, 0)	rgba(0, 0, 0, 0)	rgba(0, 0, 0, 0)	rgba(0, 0, 0, 0)	rgba(0, 0, 0, 0)	rgb(255, 255, 255)	rgba(0, 0, 0, 0)	rgba(0, 0, 0, 0)	rgba(0, 0, 0, 0)	rgba(0, 0, 0, 0)	rgba(0, 0, 0, 0)	rgba(0, 0, 0, 0)	rgba(0, 0, 0, 0)	rgba(0, 0, 0, 0)	rgba(0, 0, 0, 0)	rgba(0, 0, 0, 0)	rgba(0, 0, 0, 0)	NO EXISTEIX	rgba(0, 0, 0, 0)	rgba(0, 0, 0, 0)	rgb(245, 240, 232)	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	rgba(0, 0, 0, 0)	rgba(0, 0, 0, 0)	rgba(0, 0, 0, 0)	rgba(0, 0, 0, 0)	NO EXISTEIX
targeta_capcalera.borderBottomWidth	0px	0px	0px	0px	0px	0px	1px	1px	0px	0px	1px	0px	0px	0px	0px	0px	0px	0px	0px	NO EXISTEIX	0px	1px	1px	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	0px	0px	1px	0px	NO EXISTEIX
th.fontSize	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	10px	10px	NO EXISTEIX	NO EXISTEIX	10px	10px	NO EXISTEIX	10px	10px	10px	10px	10px	10px	10px	10px	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	10px	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX
th.fontWeight	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	400	400	NO EXISTEIX	NO EXISTEIX	400	400	NO EXISTEIX	400	600	400	400	400	400	400	400	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	600	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX
th.lineHeight	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	15px	15px	NO EXISTEIX	NO EXISTEIX	15px	15px	NO EXISTEIX	15px	15px	15px	15px	15px	15px	15px	15px	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	15px	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX
th.textTransform	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	uppercase	uppercase	NO EXISTEIX	NO EXISTEIX	uppercase	uppercase	NO EXISTEIX	uppercase	uppercase	uppercase	uppercase	uppercase	uppercase	uppercase	uppercase	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	uppercase	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX
th.letterSpacing	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	1px	1px	NO EXISTEIX	NO EXISTEIX	1px	1px	NO EXISTEIX	1px	0.5px	1px	1px	1px	1px	1px	1px	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	0.4px	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX
th.color	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	rgb(134, 134, 133)	rgb(134, 134, 133)	NO EXISTEIX	NO EXISTEIX	rgb(134, 134, 133)	rgb(134, 134, 133)	NO EXISTEIX	rgb(134, 134, 133)	rgb(134, 134, 133)	rgb(134, 134, 133)	rgb(134, 134, 133)	rgb(134, 134, 133)	rgb(134, 134, 133)	rgb(134, 134, 133)	rgb(134, 134, 133)	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	rgb(134, 134, 133)	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX
th.padding	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	11.2px 16px 11.2px 16px	11.2px 16px 11.2px 16px	NO EXISTEIX	NO EXISTEIX	11.2px 16px 11.2px 16px	11.2px 16px 11.2px 16px	NO EXISTEIX	11.2px 16px 11.2px 16px	6px 10px 6px 10px	11.2px 16px 11.2px 16px	11.2px 16px 11.2px 16px	11.2px 16px 11.2px 16px	11.2px 16px 11.2px 16px	11.2px 16px 11.2px 16px	11.2px 16px 11.2px 16px	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	8px 8px 8px 8px	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX
th.borderBottomWidth	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	1px	1px	NO EXISTEIX	NO EXISTEIX	1px	1px	NO EXISTEIX	1px	1px	1px	1px	1px	1px	1px	1px	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	1px	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX
td.fontSize	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	12px	12px	NO EXISTEIX	NO EXISTEIX	12px	12px	NO EXISTEIX	12px	12px	12px	12px	12px	12px	12px	12px	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	12px	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX
td.fontWeight	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	300	400	NO EXISTEIX	NO EXISTEIX	400	400	NO EXISTEIX	400	400	400	400	400	400	400	400	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	400	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX
td.lineHeight	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	18px	18px	NO EXISTEIX	NO EXISTEIX	18px	18px	NO EXISTEIX	18px	18px	18px	18px	18px	18px	18px	18px	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	18px	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX
td.fontFamily	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	MONO	MONO	NO EXISTEIX	NO EXISTEIX	MONO	MONO	NO EXISTEIX	MONO	MONO	MONO	MONO	MONO	MONO	MONO	MONO	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	MONO	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX
td.padding	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	12px 16px 12px 16px	12px 16px 12px 16px	NO EXISTEIX	NO EXISTEIX	12px 16px 12px 16px	12px 16px 12px 16px	NO EXISTEIX	12px 16px 12px 16px	7px 10px 7px 10px	12px 16px 12px 16px	12px 16px 12px 16px	12px 16px 12px 16px	12px 16px 12px 16px	12px 16px 12px 16px	12px 16px 12px 16px	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	8px 12px 8px 12px	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX
taula_fila.border	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	0px solid rgb(29, 29, 27)	0px solid rgb(29, 29, 27)	NO EXISTEIX	NO EXISTEIX	0px solid rgb(29, 29, 27)	0px solid rgb(29, 29, 27)	NO EXISTEIX	0px solid rgb(29, 29, 27)	0px solid rgb(29, 29, 27)	0px solid rgb(29, 29, 27)	0px solid rgb(29, 29, 27)	0px solid rgb(29, 29, 27)	0px solid rgb(29, 29, 27)	0px solid rgb(29, 29, 27)	0px solid rgb(29, 29, 27)	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	0px solid rgb(29, 29, 27)	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX
etiqueta_petita.fontSize	10px	8px	8px	8px	10px	10px	10px	10px	10px	10px	8px	10px	10px	10px	10px	10px	10px	10px	10px	10px	10px	10px	8px	8px	8px	12px	8px	10px	12px	10px	10px
etiqueta_petita.fontWeight	600	400	400	400	400	400	400	400	400	400	400	400	600	400	400	400	400	400	400	400	400	400	400	400	400	400	400	600	600	400	400
etiqueta_petita.color	rgb(194, 122, 42)	rgb(134, 134, 133)	rgb(29, 29, 27)	rgb(134, 134, 133)	rgb(134, 134, 133)	rgb(134, 134, 133)	rgb(134, 134, 133)	rgb(134, 134, 133)	rgb(134, 134, 133)	rgb(134, 134, 133)	rgb(134, 134, 133)	rgb(134, 134, 133)	rgb(134, 134, 133)	rgb(134, 134, 133)	rgb(134, 134, 133)	rgb(134, 134, 133)	rgb(134, 134, 133)	rgb(134, 134, 133)	rgb(134, 134, 133)	rgb(134, 134, 133)	rgb(134, 134, 133)	rgb(134, 134, 133)	rgb(134, 134, 133)	rgb(134, 134, 133)	rgb(134, 134, 133)	rgb(134, 134, 133)	rgb(134, 134, 133)	rgb(29, 29, 27)	rgb(134, 134, 133)	rgb(134, 134, 133)	rgb(134, 134, 133)
etiqueta_petita.textTransform	uppercase	none	none	none	uppercase	uppercase	none	none	uppercase	uppercase	none	uppercase	uppercase	uppercase	uppercase	uppercase	uppercase	uppercase	uppercase	none	uppercase	none	uppercase	none	none	none	none	uppercase	uppercase	uppercase	uppercase
badge.fontSize	12px	8px	NO EXISTEIX	NO EXISTEIX	12px	10px	NO EXISTEIX	NO EXISTEIX	10px	10px	10px	10px	12px	12px	10px	12px	12px	12px	12px	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	8px	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX
badge.fontWeight	400	400	NO EXISTEIX	NO EXISTEIX	400	600	NO EXISTEIX	NO EXISTEIX	600	600	600	600	400	400	600	400	400	400	400	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	400	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX
badge.borderRadius	10px	5px	NO EXISTEIX	NO EXISTEIX	6px	999px	NO EXISTEIX	NO EXISTEIX	999px	999px	999px	999px	6px	6px	999px	6px	6px	6px	6px	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	999px	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX
badge.padding	2px 8px 2px 8px	2px 7px 2px 7px	NO EXISTEIX	NO EXISTEIX	3px 8px 3px 8px	2px 8px 2px 8px	NO EXISTEIX	NO EXISTEIX	2px 8px 2px 8px	2px 8px 2px 8px	2px 8px 2px 8px	2px 8px 2px 8px	3px 8px 3px 8px	3px 8px 3px 8px	2px 8px 2px 8px	3px 8px 3px 8px	3px 8px 3px 8px	3px 8px 3px 8px	3px 8px 3px 8px	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	2px 8px 2px 8px	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX
badge.backgroundColor	rgb(255, 255, 255)	rgb(240, 240, 240)	NO EXISTEIX	NO EXISTEIX	rgb(240, 240, 240)	rgb(234, 243, 222)	NO EXISTEIX	NO EXISTEIX	rgb(234, 243, 222)	rgb(240, 240, 240)	rgb(250, 238, 218)	rgb(234, 243, 222)	rgb(234, 243, 222)	rgb(240, 240, 240)	rgb(234, 243, 222)	rgb(240, 240, 240)	rgb(240, 240, 240)	rgb(240, 240, 240)	rgb(240, 240, 240)	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	rgb(234, 243, 222)	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX
badge.color	rgb(134, 134, 133)	rgb(134, 134, 133)	NO EXISTEIX	NO EXISTEIX	rgb(134, 134, 133)	rgb(59, 109, 17)	NO EXISTEIX	NO EXISTEIX	rgb(59, 109, 17)	rgb(134, 134, 133)	rgb(133, 79, 11)	rgb(59, 109, 17)	rgb(59, 109, 17)	rgb(134, 134, 133)	rgb(59, 109, 17)	rgb(134, 134, 133)	rgb(134, 134, 133)	rgb(134, 134, 133)	rgb(134, 134, 133)	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	rgb(59, 109, 17)	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX
