PROPIETAT	/	/models	/models/nou	/fitxa-tecnica	/fittings	/task-types	/garment-types	/cataleg-peces	/suppliers	/recursos	/encarrecs	/clients	/comercial/productes	/comercial/ofertes	/comercial/condicions-pagament	/comercial/comandes	/comercial/encarrecs	/comercial/orfes	/comercial/albarans	/planificacio	/planificacio/calendari	/temps	/poms	/poms/grading	/size-library	/disseny/documents	/configuracio/general	/configuracio/usuaris	/configuracio/calendari	/perfil	/onboarding
badge.fontFamily	MONO	MONO	NO EXISTEIX	NO EXISTEIX	MONO	MONO	NO EXISTEIX	NO EXISTEIX	MONO	MONO	MONO	MONO	MONO	MONO	MONO	MONO	MONO	MONO	MONO	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	MONO	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX
main.backgroundColor	rgb(240, 240, 240)	rgb(240, 240, 240)	rgb(240, 240, 240)	rgb(240, 240, 240)	rgb(240, 240, 240)	rgb(240, 240, 240)	rgb(240, 240, 240)	rgb(240, 240, 240)	rgb(240, 240, 240)	rgb(240, 240, 240)	rgb(240, 240, 240)	rgb(240, 240, 240)	rgb(240, 240, 240)	rgb(240, 240, 240)	rgb(240, 240, 240)	rgb(240, 240, 240)	rgb(240, 240, 240)	rgb(240, 240, 240)	rgb(240, 240, 240)	rgb(240, 240, 240)	rgb(240, 240, 240)	rgb(240, 240, 240)	rgb(240, 240, 240)	rgb(240, 240, 240)	rgb(240, 240, 240)	rgb(240, 240, 240)	rgb(240, 240, 240)	rgb(240, 240, 240)	rgb(240, 240, 240)	rgb(240, 240, 240)	rgb(240, 240, 240)
main.padding	24px 24px 24px 24px	24px 24px 24px 24px	24px 24px 24px 24px	24px 24px 24px 24px	24px 24px 24px 24px	24px 24px 24px 24px	24px 24px 24px 24px	24px 24px 24px 24px	24px 24px 24px 24px	24px 24px 24px 24px	24px 24px 24px 24px	24px 24px 24px 24px	24px 24px 24px 24px	24px 24px 24px 24px	24px 24px 24px 24px	24px 24px 24px 24px	24px 24px 24px 24px	24px 24px 24px 24px	24px 24px 24px 24px	24px 24px 24px 24px	24px 24px 24px 24px	24px 24px 24px 24px	24px 24px 24px 24px	24px 24px 24px 24px	24px 24px 24px 24px	24px 24px 24px 24px	24px 24px 24px 24px	24px 24px 24px 24px	24px 24px 24px 24px	24px 24px 24px 24px	24px 24px 24px 24px
page_root.backgroundColor	rgba(0, 0, 0, 0)	rgba(0, 0, 0, 0)	rgba(0, 0, 0, 0)	rgba(0, 0, 0, 0)	rgba(0, 0, 0, 0)	rgba(0, 0, 0, 0)	rgba(0, 0, 0, 0)	rgba(0, 0, 0, 0)	rgba(0, 0, 0, 0)	rgba(0, 0, 0, 0)	rgba(0, 0, 0, 0)	rgba(0, 0, 0, 0)	rgba(0, 0, 0, 0)	rgba(0, 0, 0, 0)	rgba(0, 0, 0, 0)	rgba(0, 0, 0, 0)	rgba(0, 0, 0, 0)	rgba(0, 0, 0, 0)	rgba(0, 0, 0, 0)	rgba(0, 0, 0, 0)	rgba(0, 0, 0, 0)	rgba(0, 0, 0, 0)	rgba(0, 0, 0, 0)	rgba(0, 0, 0, 0)	rgba(0, 0, 0, 0)	rgba(0, 0, 0, 0)	rgba(0, 0, 0, 0)	rgba(0, 0, 0, 0)	rgba(0, 0, 0, 0)	rgba(0, 0, 0, 0)	rgba(0, 0, 0, 0)
page_root.padding	24px 24px 24px 24px	24px 24px 24px 24px	32px 16px 32px 16px	24px 24px 24px 24px	0px 0px 0px 0px	0px 0px 0px 0px	0px 0px 0px 0px	0px 0px 0px 0px	0px 0px 0px 0px	0px 0px 0px 0px	0px 0px 0px 0px	0px 0px 0px 0px	0px 0px 0px 0px	0px 0px 0px 0px	0px 0px 0px 0px	0px 0px 0px 0px	0px 0px 0px 0px	0px 0px 0px 0px	0px 0px 0px 0px	0px 0px 0px 0px	0px 0px 0px 0px	0px 0px 0px 0px	0px 0px 0px 0px	0px 0px 0px 0px	24px 24px 24px 24px	32px 24px 32px 24px	0px 0px 0px 0px	0px 0px 0px 0px	0px 0px 0px 0px	0px 0px 0px 0px	40px 40px 40px 40px
page_root.gap	normal	normal	normal	normal	normal	normal	normal	normal	normal	normal	normal	normal	normal	normal	normal	normal	normal	normal	normal	normal	normal	normal	normal	normal	normal	normal	normal	normal	normal	normal	normal
page_root.display	block	block	block	block	block	block	block	block	block	block	block	block	block	block	block	block	block	block	block	block	block	block	block	block	block	block	block	block	block	block	block
targeta.backgroundColor	rgb(255, 255, 255)	rgb(255, 255, 255)	rgb(255, 255, 255)	rgb(255, 255, 255)	rgb(255, 255, 255)	rgb(255, 255, 255)	rgb(255, 255, 255)	rgb(255, 255, 255)	rgb(255, 255, 255)	rgb(255, 255, 255)	rgb(255, 255, 255)	rgb(255, 255, 255)	rgb(255, 255, 255)	rgb(255, 255, 255)	rgb(255, 255, 255)	rgb(255, 255, 255)	rgb(255, 255, 255)	rgb(255, 255, 255)	rgb(255, 255, 255)	rgb(255, 255, 255)	rgb(255, 255, 255)	rgb(255, 255, 255)	rgb(250, 250, 250)	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	rgb(255, 255, 255)	rgb(255, 255, 255)	rgb(255, 255, 255)	rgb(255, 255, 255)	NO EXISTEIX
targeta.border	1px solid rgb(224, 213, 197)	1px solid rgb(240, 240, 240)	1px solid rgb(240, 240, 240)	1px solid rgb(224, 213, 197)	1px solid rgb(228, 228, 226)	1px solid rgb(240, 240, 240)	1px solid rgb(240, 240, 240)	1px solid rgb(240, 240, 240)	1px solid rgb(240, 240, 240)	1px solid rgb(240, 240, 240)	1px solid rgb(240, 240, 240)	1px solid rgb(240, 240, 240)	1px solid rgb(224, 213, 197)	1px solid rgb(240, 240, 240)	1px solid rgb(240, 240, 240)	1px solid rgb(240, 240, 240)	1px solid rgb(240, 240, 240)	1px solid rgb(240, 240, 240)	1px solid rgb(240, 240, 240)	1px solid rgb(240, 240, 240)	1px solid rgb(240, 240, 240)	1px solid rgb(228, 228, 226)	1px solid rgb(224, 213, 197)	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	1px solid rgb(240, 240, 240)	1px solid rgb(240, 240, 240)	1px solid rgb(240, 240, 240)	1px solid rgb(228, 228, 226)	NO EXISTEIX
targeta.borderRadius	8px	8px	12px	8px	12px	12px	12px	9px	12px	12px	12px	12px	12px	12px	12px	12px	12px	12px	12px	12px	12px	12px	9px	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	12px	12px	12px	12px	NO EXISTEIX
targeta.boxShadow	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	none	none	none	none	NO EXISTEIX
targeta.padding	12px 16px 12px 16px	0px 0px 0px 0px	20px 20px 20px 20px	0px 0px 0px 0px	19.2px 22.4px 19.2px 22.4px	0px 0px 0px 0px	0px 0px 0px 0px	0px 0px 0px 0px	0px 0px 0px 0px	0px 0px 0px 0px	0px 0px 0px 0px	0px 0px 0px 0px	0px 0px 0px 0px	0px 0px 0px 0px	0px 0px 0px 0px	0px 0px 0px 0px	0px 0px 0px 0px	0px 0px 0px 0px	0px 0px 0px 0px	24px 24px 24px 24px	0px 0px 0px 0px	0px 0px 0px 0px	0px 0px 0px 0px	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	20px 20px 20px 20px	0px 0px 0px 0px	0px 0px 0px 0px	0px 0px 0px 0px	NO EXISTEIX
separacio_panells.gap	16px	8px	24px	normal	16px	NO EXISTEIX	16px	13px	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	26px	normal	19.2px	13px	NO EXISTEIX	24px	NO EXISTEIX	12px	NO EXISTEIX	NO EXISTEIX	22.4px	NO EXISTEIX
separacio_panells.display	grid	flex	flex	flex	grid	NO EXISTEIX	flex	grid	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	flex	flex	grid	grid	NO EXISTEIX	grid	NO EXISTEIX	flex	NO EXISTEIX	NO EXISTEIX	flex	NO EXISTEIX
separacio_panells.n_fills	4	5	3	1	4	NO EXISTEIX	2	3	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	3	8	2	2	NO EXISTEIX	1	NO EXISTEIX	3	NO EXISTEIX	NO EXISTEIX	1	NO EXISTEIX
capcalera_llista.padding	NO EXISTEIX	0px 0px 0px 0px	0px 0px 0px 0px	NO EXISTEIX	0px 0px 0px 0px	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	0px 0px 12px 0px	NO EXISTEIX	NO EXISTEIX	0px 0px 0px 0px	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX
capcalera_llista.gap	NO EXISTEIX	12px	8px	NO EXISTEIX	8px	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	8px	NO EXISTEIX	NO EXISTEIX	14px	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX
capcalera_llista_cel.fontSize	NO EXISTEIX	12px	12px	NO EXISTEIX	12px	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	12px	NO EXISTEIX	NO EXISTEIX	12px	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX
capcalera_llista_cel.fontWeight	NO EXISTEIX	600	600	NO EXISTEIX	400	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	500	NO EXISTEIX	NO EXISTEIX	400	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX
capcalera_llista_cel.textTransform	NO EXISTEIX	none	none	NO EXISTEIX	none	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	none	NO EXISTEIX	NO EXISTEIX	none	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX
capcalera_llista_cel.color	NO EXISTEIX	rgb(29, 29, 27)	rgb(133, 79, 11)	NO EXISTEIX	rgb(134, 134, 133)	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	rgb(29, 29, 27)	NO EXISTEIX	NO EXISTEIX	rgb(29, 29, 27)	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX
boto_primari.backgroundColor	NO EXISTEIX	rgb(194, 122, 42)	NO EXISTEIX	rgb(194, 122, 42)	NO EXISTEIX	NO EXISTEIX	rgb(194, 122, 42)	NO EXISTEIX	rgb(194, 122, 42)	rgb(194, 122, 42)	rgb(194, 122, 42)	rgb(194, 122, 42)	rgb(194, 122, 42)	rgb(194, 122, 42)	rgb(194, 122, 42)	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	rgb(194, 122, 42)	rgb(194, 122, 42)	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	rgb(194, 122, 42)	rgb(194, 122, 42)	rgb(194, 122, 42)	rgb(194, 122, 42)	NO EXISTEIX
boto_primari.color	NO EXISTEIX	rgb(29, 29, 27)	NO EXISTEIX	rgb(29, 29, 27)	NO EXISTEIX	NO EXISTEIX	rgb(29, 29, 27)	NO EXISTEIX	rgb(29, 29, 27)	rgb(29, 29, 27)	rgb(29, 29, 27)	rgb(29, 29, 27)	rgb(29, 29, 27)	rgb(29, 29, 27)	rgb(29, 29, 27)	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	rgb(29, 29, 27)	rgb(29, 29, 27)	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	rgb(29, 29, 27)	rgb(29, 29, 27)	rgb(29, 29, 27)	rgb(29, 29, 27)	NO EXISTEIX
boto_primari.border	NO EXISTEIX	0px none rgb(29, 29, 27)	NO EXISTEIX	0px none rgb(29, 29, 27)	NO EXISTEIX	NO EXISTEIX	0px none rgb(29, 29, 27)	NO EXISTEIX	0px none rgb(29, 29, 27)	0px none rgb(29, 29, 27)	0px none rgb(29, 29, 27)	0px none rgb(29, 29, 27)	0px none rgb(29, 29, 27)	0px none rgb(29, 29, 27)	0px none rgb(29, 29, 27)	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	0px none rgb(29, 29, 27)	0px none rgb(29, 29, 27)	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	0px none rgb(29, 29, 27)	0px none rgb(29, 29, 27)	0px none rgb(29, 29, 27)	0px none rgb(29, 29, 27)	NO EXISTEIX
boto_primari.borderRadius	NO EXISTEIX	6px	NO EXISTEIX	5px	NO EXISTEIX	NO EXISTEIX	6px	NO EXISTEIX	6px	6px	6px	6px	6px	6px	6px	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	6px	6px	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	6px	6px	6px	8px	NO EXISTEIX
boto_primari.padding	NO EXISTEIX	7px 14px 7px 14px	NO EXISTEIX	6px 14px 6px 14px	NO EXISTEIX	NO EXISTEIX	7px 14px 7px 14px	NO EXISTEIX	7px 14px 7px 14px	7px 14px 7px 14px	7px 14px 7px 14px	7px 14px 7px 14px	7px 14px 7px 14px	7px 14px 7px 14px	7px 14px 7px 14px	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	7px 14px 7px 14px	6px 16px 6px 16px	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	7px 14px 7px 14px	7px 14px 7px 14px	8px 18px 8px 18px	10px 16px 10px 16px	NO EXISTEIX
boto_primari.fontSize	NO EXISTEIX	12px	NO EXISTEIX	12px	NO EXISTEIX	NO EXISTEIX	12px	NO EXISTEIX	12px	12px	12px	12px	12px	12px	12px	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	12px	12px	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	12px	12px	12px	12px	NO EXISTEIX
boto_primari.fontWeight	NO EXISTEIX	600	NO EXISTEIX	600	NO EXISTEIX	NO EXISTEIX	600	NO EXISTEIX	600	600	600	600	600	600	600	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	600	500	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	600	600	600	500	NO EXISTEIX
boto_primari.fontFamily	NO EXISTEIX	MONO	NO EXISTEIX	MONO	NO EXISTEIX	NO EXISTEIX	MONO	NO EXISTEIX	MONO	MONO	MONO	MONO	MONO	MONO	MONO	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	MONO	MONO	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	MONO	MONO	MONO	MONO	NO EXISTEIX
boto_secundari.backgroundColor	rgb(255, 255, 255)	rgb(255, 255, 255)	rgb(255, 255, 255)	NO EXISTEIX	rgb(255, 255, 255)	NO EXISTEIX	rgb(255, 255, 255)	rgb(255, 255, 255)	NO EXISTEIX	NO EXISTEIX	rgb(255, 255, 255)	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	rgb(245, 240, 232)	rgb(255, 255, 255)	NO EXISTEIX	rgb(245, 230, 208)	rgb(245, 230, 208)	rgb(255, 255, 255)	NO EXISTEIX	rgb(255, 255, 255)	rgb(255, 255, 255)	NO EXISTEIX	NO EXISTEIX	rgb(245, 230, 208)
boto_secundari.color	rgb(29, 29, 27)	rgb(194, 122, 42)	rgb(134, 134, 133)	NO EXISTEIX	rgb(134, 134, 133)	NO EXISTEIX	rgb(29, 29, 27)	rgb(29, 29, 27)	NO EXISTEIX	NO EXISTEIX	rgb(194, 122, 42)	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	rgb(134, 134, 133)	rgb(134, 134, 133)	NO EXISTEIX	rgb(29, 29, 27)	rgb(194, 122, 42)	rgb(29, 29, 27)	NO EXISTEIX	rgb(29, 29, 27)	rgb(29, 29, 27)	NO EXISTEIX	NO EXISTEIX	rgb(194, 122, 42)
boto_secundari.border	1px solid rgb(240, 240, 240)	1px solid rgb(194, 122, 42)	1px solid rgb(240, 240, 240)	NO EXISTEIX	1px solid rgb(228, 228, 226)	NO EXISTEIX	1px solid rgb(240, 240, 240)	1px solid rgb(240, 240, 240)	NO EXISTEIX	NO EXISTEIX	1px solid rgb(194, 122, 42)	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	0px none rgb(134, 134, 133)	0px none rgb(134, 134, 133)	NO EXISTEIX	0px none rgb(29, 29, 27)	1px solid rgb(194, 122, 42)	1px solid rgb(224, 213, 197)	NO EXISTEIX	1px solid rgb(240, 240, 240)	1px solid rgb(240, 240, 240)	NO EXISTEIX	NO EXISTEIX	1px solid rgb(194, 122, 42)
boto_secundari.borderRadius	8px	6px	8px	NO EXISTEIX	8px	NO EXISTEIX	6px	6px	NO EXISTEIX	NO EXISTEIX	6px	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	6px	0px	NO EXISTEIX	0px	4px	6px	NO EXISTEIX	6px	6px	NO EXISTEIX	NO EXISTEIX	4px
boto_secundari.padding	8px 10px 8px 10px	7px 14px 7px 14px	8px 12px 8px 12px	NO EXISTEIX	5px 12px 5px 12px	NO EXISTEIX	6px 14px 6px 14px	6px 12px 6px 12px	NO EXISTEIX	NO EXISTEIX	7px 14px 7px 14px	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	6px 16px 6px 16px	7px 14px 7px 14px	NO EXISTEIX	8px 14px 8px 14px	8px 14px 8px 14px	10px 14px 10px 14px	NO EXISTEIX	6px 10px 6px 10px	5px 10px 5px 10px	NO EXISTEIX	NO EXISTEIX	9px 20px 9px 20px
boto_secundari.fontSize	16px	12px	12px	NO EXISTEIX	12px	NO EXISTEIX	12px	12px	NO EXISTEIX	NO EXISTEIX	12px	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	12px	12px	NO EXISTEIX	16px	12px	12px	NO EXISTEIX	12px	12px	NO EXISTEIX	NO EXISTEIX	12px
boto_secundari.fontWeight	400	600	400	NO EXISTEIX	400	NO EXISTEIX	400	400	NO EXISTEIX	NO EXISTEIX	600	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	400	400	NO EXISTEIX	400	400	400	NO EXISTEIX	400	400	NO EXISTEIX	NO EXISTEIX	400
boto_secundari.fontFamily	MONO	MONO	MONO	NO EXISTEIX	MONO	NO EXISTEIX	MONO	MONO	NO EXISTEIX	NO EXISTEIX	MONO	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	MONO	MONO	NO EXISTEIX	MONO	MONO	MONO	NO EXISTEIX	MONO	MONO	NO EXISTEIX	NO EXISTEIX	MONO
input.backgroundColor	rgb(255, 255, 255)	rgb(255, 255, 255)	rgb(255, 255, 255)	rgba(0, 0, 0, 0)	NO EXISTEIX	NO EXISTEIX	rgb(255, 255, 255)	rgb(255, 255, 255)	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	rgb(255, 255, 255)	NO EXISTEIX	rgb(255, 255, 255)	NO EXISTEIX	rgb(255, 255, 255)	rgb(255, 255, 255)	NO EXISTEIX	rgb(255, 255, 255)	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	rgb(250, 250, 250)	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	rgb(255, 255, 255)	rgb(255, 255, 255)	NO EXISTEIX	rgb(255, 255, 255)	NO EXISTEIX
input.border	1px solid rgb(240, 240, 240)	1px solid rgb(240, 240, 240)	1px solid rgb(240, 240, 240)	0px none rgb(29, 29, 27)	NO EXISTEIX	NO EXISTEIX	1px solid rgb(240, 240, 240)	1px solid rgb(240, 240, 240)	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	1px solid rgb(240, 240, 240)	NO EXISTEIX	1px solid rgb(240, 240, 240)	NO EXISTEIX	1px solid rgb(240, 240, 240)	1px solid rgb(240, 240, 240)	NO EXISTEIX	1px solid rgb(240, 240, 240)	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	1px solid rgb(224, 213, 197)	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	1px solid rgb(240, 240, 240)	1px solid rgb(240, 240, 240)	NO EXISTEIX	1px solid rgb(240, 240, 240)	NO EXISTEIX
input.borderRadius	8px	6px	4px	0px	NO EXISTEIX	NO EXISTEIX	6px	6px	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	6px	NO EXISTEIX	6px	NO EXISTEIX	6px	6px	NO EXISTEIX	6px	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	5px	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	6px	6px	NO EXISTEIX	8px	NO EXISTEIX
input.padding	6px 9px 6px 9px	6px 10px 6px 10px	8px 10px 8px 10px	0px 0px 0px 0px	NO EXISTEIX	NO EXISTEIX	6px 10px 6px 10px	6px 10px 6px 10px	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	6px 10px 6px 10px	NO EXISTEIX	6px 10px 6px 10px	NO EXISTEIX	6px 10px 6px 10px	6px 10px 6px 10px	NO EXISTEIX	6px 10px 6px 10px	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	5px 9px 5px 9px	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	6px 10px 6px 10px	6px 10px 6px 10px	NO EXISTEIX	9px 11px 9px 11px	NO EXISTEIX
input.fontSize	12px	12px	12px	12px	NO EXISTEIX	NO EXISTEIX	12px	12px	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	12px	NO EXISTEIX	12px	NO EXISTEIX	12px	12px	NO EXISTEIX	12px	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	10px	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	12px	12px	NO EXISTEIX	12px	NO EXISTEIX
input.fontFamily	MONO	MONO	MONO	MONO	NO EXISTEIX	NO EXISTEIX	MONO	MONO	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	MONO	NO EXISTEIX	MONO	NO EXISTEIX	MONO	MONO	NO EXISTEIX	MONO	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	MONO	NO EXISTEIX	NO EXISTEIX	NO EXISTEIX	MONO	MONO	NO EXISTEIX	MONO	NO EXISTEIX
n_taules	0	0	0	0	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0
n_files	0	0	0	0	5	5	0	0	5	5	0	5	5	5	5	5	5	5	5	0	0	0	0	0	0	0	0	5	0	0	0
n_botons	8	8	15	3	13	0	7	7	16	6	2	21	21	11	16	5	5	5	6	9	7	0	7	1	13	0	2	11	9	2	1
n_badges	4	10	0	0	5	5	0	0	5	5	5	5	5	5	5	5	10	5	5	0	0	0	2	0	0	0	0	0	0	0	0
n_targetes	5	5	1	1	5	1	1	3	1	1	1	1	1	1	1	1	1	1	1	3	1	3	2	0	0	0	1	1	2	2	0
n_icones	5	10	0	3	4	0	1	0	1	1	1	6	21	1	1	0	0	0	1	4	3	3	0	1	0	1	2	46	9	1	0
n_inputs	7	3	6	1	0	0	2	2	0	0	0	1	0	2	0	2	3	0	2	0	0	0	1	0	0	0	14	3	0	2	0
icones	ti-x×1 ti-inbox×1 ti-player-play×1 ti-player-pause×1 ti-circle-check×1	ti-trash×5 ti-chevron-down×3 ti-plus×1 ti-adjustments-horizontal×1		ti-search×1 ti-folder×1 ti-chevron-right×1	ti-clipboard-list×1 ti-folder-open×1 ti-circle-check×1 ti-ban×1		ti-plus×1		ti-plus×1	ti-plus×1	ti-download×1	ti-photo×5 ti-plus×1	ti-arrow-right×5 ti-pencil×5 ti-circle-check×5 ti-trash×5 ti-plus×1	ti-plus×1	ti-plus×1				ti-layout-grid-add×1	ti-chart-bar×1 ti-checkup-list×1 ti-alert-triangle×1 ti-clock-cog×1	ti-chevron-left×1 ti-chevron-right×1 ti-alert-triangle×1	ti-player-play×1 ti-calendar-event×1 ti-chart-bar×1		ti-plus×1		ti-file-text×1	ti-photo×1 ti-device-floppy×1	ti-check×35 ti-pencil×5 ti-key×5 ti-plus×1	ti-plus×8 ti-device-floppy×1	ti-logout×1	
