codi;nom_en;familia;regim;logica;d_xxs_xs;d_xs_s;d_s_m;d_m_l;trenca;ancoratge;capa_defecte;seccio
CB1;Collar total contour;E;Amplada;LINEAR+BREAK;0.5;0.75;0.75;0.75;XS;Tirada;exterior;COLL · ESPATLLA · ESCOT · SOLAPA (E)
F;Centre front length from HPS;F;Llarg;LINEAR+BREAK;1;1;1.5;1.5;S;Tirada;exterior;LLARGS DEL COS (F)
FF;Centre back length from HPS;F;Llarg;LINEAR+BREAK;1;1;1.5;1.5;S;Tirada;exterior;LLARGS DEL COS (F)
F1;Side curve (CB length minus side seam);F;Llarg;LINEAR+BREAK;0.3;0.5;0.5;0.5;XS;Cota;exterior;LLARGS DEL COS (F)
F2;Side length;F;Llarg;LINEAR+BREAK;1;1;1.5;1.5;S;Tirada;exterior;LLARGS DEL COS (F)
F3;Front centre total length;F;Llarg;LINEAR+BREAK;1;1;1.5;1.5;S;Tirada;exterior;LLARGS DEL COS (F)
F4;Back centre total length;F;Llarg;LINEAR+BREAK;1;1;1.5;1.5;S;Tirada;exterior;LLARGS DEL COS (F)
FB;Body length;F;Llarg;LINEAR+BREAK;1;1;1.5;1.5;S;Tirada;exterior;LLARGS DEL COS (F)
FC;Hip position;F;Col·locació;LINEAR+BREAK;0.3;0.5;0.5;0.5;XS;Caiguda;exterior;LLARGS DEL COS (F)
FD;Front rise length;F;Llarg;LINEAR+BREAK;0.7;1.1;1.1;1.1;XS;Tirada;exterior;LLARGS DEL COS (F)
FE;Back rise length;F;Llarg;LINEAR+BREAK;0.9;1.5;1.5;1.5;XS;Tirada;exterior;LLARGS DEL COS (F)
FI;Inseam length;F;Llarg;LINEAR+BREAK;0;0.5;0.5;0.5;XS;Tirada;exterior;LLARGS DEL COS (F)
FR;Knee position;F;Col·locació;LINEAR+BREAK;0.5;0.75;0.75;0.75;XS;Caiguda;exterior;LLARGS DEL COS (F)
FS;Skirt length;F;Llarg;LINEAR+BREAK;0.5;0.5;1;1;S;Tirada;exterior;LLARGS DEL COS (F)
FT;Pants length (outseam);F;Llarg;LINEAR+BREAK;0.5;0.5;1;1;S;Tirada;exterior;LLARGS DEL COS (F)
FS5;Lining length difference;F;Fix;FIXED;0;0;0;0;—;Component;folre;LLARGS DEL COS (F)
FJ;Wingspan length;F;Llarg;LINEAR+BREAK;3;3.5;3.5;3.5;XS;Tirada;exterior;LLARGS DEL COS (F)
G1;Bottom finish height;G;Fix;FIXED;0;0;0;0;—;Component;exterior;CANALÉ, BAIXOS I GODET (G)
GD;Godet length at longest point;G;Llarg;LINEAR+BREAK;1;1;1.5;1.5;S;Tirada;exterior;CANALÉ, BAIXOS I GODET (G)
GD1;Godet length at seams;G;Llarg;LINEAR+BREAK;1;1;1.5;1.5;S;Tirada;exterior;CANALÉ, BAIXOS I GODET (G)
HL;Hood length;H;Llarg;LINEAR+BREAK;0.5;0.75;0.75;0.75;XS;Tirada;exterior;CAPUTXA (H)
HW;Hood width;H;Amplada;LINEAR+BREAK;0.5;0.75;0.75;0.75;XS;Cota;exterior;CAPUTXA (H)
HO;Hood opening width;H;Amplada;LINEAR+BREAK;0.5;0.75;0.75;0.75;XS;Cota;exterior;CAPUTXA (H)
H1;Hood width placement;H;Col·locació;LINEAR+BREAK;0.3;0.5;0.5;0.5;XS;Caiguda;exterior;CAPUTXA (H)
HP;Hood piece width;H;Amplada;LINEAR+BREAK;0.3;0.5;0.5;0.5;XS;Cota;exterior;CAPUTXA (H)
I;Sleeve length;I;Llarg;LINEAR+BREAK;0.7;1;1;1;XS;Tirada;exterior;LLARGS DE MÀNIGA (I)
I2;Sleeve hem width;I;Amplada;LINEAR+BREAK;0.5;0.75;0.75;0.75;XS;Cota;exterior;LLARGS DE MÀNIGA (I)
I3;Cuff slit;I;Fix;FIXED;0;0;0;0;—;Component;exterior;LLARGS DE MÀNIGA (I)
I4;Sleeve length from CB over shoulder point (cuff included);I;Llarg;LINEAR+BREAK;1.5;1.75;1.75;1.75;XS;Tirada;exterior;LLARGS DE MÀNIGA (I)
I5;Elbow position from CB over shoulder point;I;Col·locació;LINEAR+BREAK;1;1.25;1.25;1.25;XS;Tirada;exterior;LLARGS DE MÀNIGA (I)
I6;Under sleeve length;I;Llarg;LINEAR+BREAK;0.7;1;1;1;XS;Tirada;exterior;LLARGS DE MÀNIGA (I)
