codi;logica;d_xxs_xs;d_xs_s;d_s_m;d_m_l;talla_break
QT;FIXED;0;0;0;0;—
QTP;LINEAR+BREAK;0.3;0.5;0.5;0.5;XS
QTD;FIXED;0;0;0;0;—
QTS;LINEAR+BREAK;0.15;0.2;0.2;0.2;XS
R;LINEAR+BREAK;0.2;0.3;0.3;0.3;XS
R1;LINEAR+BREAK;0.5;0.75;0.75;0.75;XS
R2;LINEAR+BREAK;0.7;1;1;1;XS
R3;LINEAR+BREAK;0.35;0.5;0.5;0.5;XS
RF;LINEAR+BREAK;0.2;0.3;0.3;0.3;XS
RF1;FIXED;0;0;0;0;—
RW;FIXED;0;0;0;0;—
PR;LINEAR+BREAK;0.15;0.2;0.2;0.2;XS
S;LINEAR+BREAK;0.7;1;1;1;XS
S2;LINEAR+BREAK;0.7;1;1;1;XS
S3;LINEAR+BREAK;0.7;1;1;1;XS
SF;LINEAR+BREAK;0.7;1;1;1;XS
SLT;FIXED;0;0;0;0;—
SLT1;FIXED;0;0;0;0;—
T;LINEAR+BREAK;0.5;0.75;0.75;0.75;XS
T1;FIXED;0;0;0;0;—
T2;LINEAR+BREAK;0.3;0.5;0.5;0.5;XS
TR;LINEAR+BREAK;1;1;1.5;1.5;S
T3;FIXED;0;0;0;0;—
T4;FIXED;0;0;0;0;—
U;FIXED;0;0;0;0;—
U1;FIXED;0;0;0;0;—
U2;LINEAR+BREAK;0.15;0.2;0.2;0.2;XS
U3;FIXED;0;0;0;0;—
U4;FIXED;0;0;0;0;—
UT1;FIXED;0;0;0;0;—
UT2;FIXED;0;0;0;0;—
V;FIXED;0;0;0;0;—
VR;LINEAR+BREAK;1;1.5;1.5;1.5;XS
VP;LINEAR+BREAK;0.3;0.5;0.5;0.5;XS
W;FIXED;0;0;0;0;—
WP;LINEAR+BREAK;0.3;0.5;0.5;0.5;XS
X;FIXED;0;0;0;0;—
XP;LINEAR+BREAK;0.3;0.5;0.5;0.5;XS
XV;FIXED;0;0;0;0;—
Y;LINEAR+BREAK;0.5;0.75;0.75;0.75;XS
Y1;LINEAR+BREAK;0.5;0.75;0.75;0.75;XS
YP;LINEAR+BREAK;0.3;0.5;0.5;0.5;XS
YC1;FIXED;0;0;0;0;—
ZL;FIXED;0;0;0;0;—
ZF;FIXED;0;0;0;0;—
ZC2;FIXED;0;0;0;0;—
