codi_client;nom_client;familia;unitat;actiu;pom_global_codi;hash_fila;pk_local
S2;Back armhole along seam;S;\N;1;\N;38ca9af521eaddfe;1013
S3;Armhole curve;S;\N;1;\N;846d00f25385cc35;1014
SF;Armhole depth from HPS;S;\N;1;\N;804009f6063460b8;1015
SLT;Slit / opening length;S;\N;1;\N;c600a09ed35bcf8d;1016
SLT1;Vent overlap width;S;\N;1;\N;288c5af79085b461;1017
T;Strap length;T;\N;1;\N;de0a6fc38b1ce5bf;1018
T1;Strap width;T;\N;1;\N;dcface319f04e56f;1019
T2;Strap placement;T;\N;1;\N;b6fb5da66bbf57bc;1020
T3;Strap thickness;T;\N;1;\N;2bf852935e707966;1022
T4;Strap cut width;T;\N;1;\N;97f423aa515c2342;1023
TR;Placket height;T;\N;1;\N;3ad64c88b9811537;1021
U;Front overlap;U;\N;1;\N;24b0eee31d44ce40;1024
U1;Button spacing;U;\N;1;\N;8d4ab75b8b58d88d;1025
U2;First button placement;U;\N;1;\N;55a1925d6a1d26ec;1026
U3;Last button placement;U;\N;1;\N;a6f607faa3861d73;1027
U4;Flounce height;U;\N;1;\N;d3a02522501e2a95;1028
UT1;Loop height;U;\N;1;\N;938f27167091fd21;1029
UT2;Loop width;U;\N;1;\N;2e6d78868349ad1e;1030
V;Ruffle height;V;\N;1;\N;1b58a324b20e37ae;1031
VP;Ruffle end placement;V;\N;1;\N;f7e3ce894a54bacb;1033
VR;Ruffle length;V;\N;1;\N;9d5b94296fd70e10;1032
W;Elastic width;W;\N;1;\N;8e699b27dddf3748;1034
WP;Elastic placement;W;\N;1;\N;034b109f252f83ce;1035
X;Stitching width;X;\N;1;\N;2e5133654161ddd4;1036
XP;Stitching placement;X;\N;1;\N;b5bccaf499bce8b7;1037
XV;Jetting width;X;\N;1;\N;6b48277b52ba6173;1038
Y;Panel width;Y;\N;1;\N;929899b7275fc420;1039
Y1;Panel height;Y;\N;1;\N;d4dac0585df7d940;1040
YC1;Cut-out width;Y;\N;1;\N;9daa08f815750117;1042
YP;Panel and cut-out placement;Y;\N;1;\N;9356decc71374882;1041
ZC2;Cord channel height;Z;\N;1;\N;57c657dd512addc4;1045
ZF;Complement width;Z;\N;1;\N;2d5ef5fdaf07f1aa;1044
ZL;Complement length;Z;\N;1;\N;38dfabb3d23e04c2;1043
ZZS45D;Mesura de prova S45/D;\N;\N;1;\N;d3b36d7ff3ba105a;1051
