joc;pom_codi;regim;logica;talla_base;increment_base;increment_break;talla_break_label;talla_break_pos;breaks;valors_step;increment_llegat;actiu;hash_fila;pk_local
GRADING BROWNIE 2026;W;FIXED;FIXED;XXS;\N;\N;\N;\N;[];{};0.00;1;b06e926dce5ffde9;3202
GRADING BROWNIE 2026;WP;LINEAR;LINEAR;XXS;0.30;0.50;S;\N;[];{};0.30;1;1b983f14776b783f;3203
GRADING BROWNIE 2026;X;FIXED;FIXED;XXS;\N;\N;\N;\N;[];{};0.00;1;9dc1b03a87a3c156;3204
GRADING BROWNIE 2026;XP;LINEAR;LINEAR;XXS;0.30;0.50;S;\N;[];{};0.30;1;a392fdec07c6cb0b;3205
GRADING BROWNIE 2026;XV;FIXED;FIXED;XXS;\N;\N;\N;\N;[];{};0.00;1;45d225aae844f8dd;3206
GRADING BROWNIE 2026;Y;LINEAR;LINEAR;XXS;0.50;0.75;S;\N;[];{};0.50;1;c97ee2cbe9f433d1;3207
GRADING BROWNIE 2026;Y1;LINEAR;LINEAR;XXS;0.50;0.75;S;\N;[];{};0.50;1;2515f65af94706d9;3208
GRADING BROWNIE 2026;YC1;FIXED;FIXED;XXS;\N;\N;\N;\N;[];{};0.00;1;bc27c4b88716fd21;3210
GRADING BROWNIE 2026;YP;LINEAR;LINEAR;XXS;0.30;0.50;S;\N;[];{};0.30;1;95445bc429a0e95f;3209
GRADING BROWNIE 2026;ZC2;FIXED;FIXED;XXS;\N;\N;\N;\N;[];{};0.00;1;869a00324b6aeccf;3213
GRADING BROWNIE 2026;ZF;FIXED;FIXED;XXS;\N;\N;\N;\N;[];{};0.00;1;c42e6145807729e5;3212
GRADING BROWNIE 2026;ZL;FIXED;FIXED;XXS;\N;\N;\N;\N;[];{};0.00;1;ced0bf78dab09779;3211
